2017-07-17-13-13-13-426  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-17-13-13-13-429  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-13-13-13-431  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-13-13-13-437  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-17-13-13-13-438  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-17-13-13-13-469  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道085A1AA0创建成功, new socket 3404, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:43174
 
2017-07-17-13-13-13-469  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道085A1AA0准备发送数据0, localport=43174, RemotePort=10002, unDataLen=356 

2017-07-17-13-13-13-469  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道085A1AA0成功发送数据*, localport=43174, RemotePort=10002, unDataLen=356 

2017-07-17-13-13-13-564  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道085A1AA0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:43174 

2017-07-17-13-13-13-564  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道085A1AA0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:43174 

2017-07-17-13-13-13-564  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道085A1AA0准备发送数据0, localport=43174, RemotePort=10002, unDataLen=52 

2017-07-17-13-13-13-564  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道085A1AA0成功发送数据*, localport=43174, RemotePort=10002, unDataLen=52 

2017-07-17-13-13-13-583  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道085A1AA0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:43174 

2017-07-17-13-13-13-583  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道085A1AA0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:43174 

2017-07-17-13-13-13-621  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道085A1AA0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:43174 

2017-07-17-13-13-13-621  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道085A1AA0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:43174 

2017-07-17-13-13-13-621  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道085A1AA0准备发送数据0, localport=43174, RemotePort=10002, unDataLen=52 

2017-07-17-13-13-13-621  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道085A1AA0成功发送数据*, localport=43174, RemotePort=10002, unDataLen=52 

2017-07-17-13-13-13-678  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道085A1AA0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:43174 

2017-07-17-13-13-13-678  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道085A1AA0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:43174 

2017-07-17-13-13-13-678  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道085A1AA0准备发送数据0, localport=43174, RemotePort=10002, unDataLen=52 

2017-07-17-13-13-13-679  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道085A1AA0成功发送数据*, localport=43174, RemotePort=10002, unDataLen=52 

2017-07-17-13-13-13-735  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道085A1AA0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:43174 

2017-07-17-13-13-13-735  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道085A1AA0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:43174 

2017-07-17-13-13-13-735  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道085A1AA0准备发送数据0, localport=43174, RemotePort=10002, unDataLen=52 

2017-07-17-13-13-13-735  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道085A1AA0成功发送数据*, localport=43174, RemotePort=10002, unDataLen=52 

2017-07-17-13-13-13-840  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道085A1AA0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:43174 

2017-07-17-13-13-13-840  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道085A1AA0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:43174 

2017-07-17-13-13-13-840  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道085A1AA0准备发送数据0, localport=43174, RemotePort=10002, unDataLen=52 

2017-07-17-13-13-13-840  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道085A1AA0成功发送数据*, localport=43174, RemotePort=10002, unDataLen=52 

2017-07-17-13-13-13-897  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道085A1AA0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:43174 

2017-07-17-13-13-13-897  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道085A1AA0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:43174 

2017-07-17-13-13-13-897  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道085A1AA0准备发送数据0, localport=43174, RemotePort=10002, unDataLen=52 

2017-07-17-13-13-13-897  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道085A1AA0成功发送数据*, localport=43174, RemotePort=10002, unDataLen=52 

