2017-07-17-18-12-43-901  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-17-18-12-43-904  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-18-12-43-904  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-18-12-43-912  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-17-18-12-43-913  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-17-18-12-43-947  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道08DE18F8创建成功, new socket 3404, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:6654
 
2017-07-17-18-12-43-948  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08DE18F8准备发送数据0, localport=6654, RemotePort=10002, unDataLen=356 

2017-07-17-18-12-43-948  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08DE18F8成功发送数据*, localport=6654, RemotePort=10002, unDataLen=356 

2017-07-17-18-12-44-022  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08DE18F8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

2017-07-17-18-12-44-022  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08DE18F8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

2017-07-17-18-12-44-023  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08DE18F8准备发送数据0, localport=6654, RemotePort=10002, unDataLen=52 

2017-07-17-18-12-44-023  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08DE18F8成功发送数据*, localport=6654, RemotePort=10002, unDataLen=52 

2017-07-17-18-12-44-042  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08DE18F8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

2017-07-17-18-12-44-042  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08DE18F8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

2017-07-17-18-12-44-096  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08DE18F8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

2017-07-17-18-12-44-096  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08DE18F8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

2017-07-17-18-12-44-096  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08DE18F8准备发送数据0, localport=6654, RemotePort=10002, unDataLen=52 

2017-07-17-18-12-44-096  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08DE18F8成功发送数据*, localport=6654, RemotePort=10002, unDataLen=52 

2017-07-17-18-12-44-158  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08DE18F8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

2017-07-17-18-12-44-158  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08DE18F8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

2017-07-17-18-12-44-159  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08DE18F8准备发送数据0, localport=6654, RemotePort=10002, unDataLen=52 

2017-07-17-18-12-44-159  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08DE18F8成功发送数据*, localport=6654, RemotePort=10002, unDataLen=52 

2017-07-17-18-12-44-215  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08DE18F8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

2017-07-17-18-12-44-215  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08DE18F8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

2017-07-17-18-12-44-215  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08DE18F8准备发送数据0, localport=6654, RemotePort=10002, unDataLen=52 

2017-07-17-18-12-44-216  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08DE18F8成功发送数据*, localport=6654, RemotePort=10002, unDataLen=52 

2017-07-17-18-12-44-272  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08DE18F8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

2017-07-17-18-12-44-272  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08DE18F8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

2017-07-17-18-12-44-272  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08DE18F8准备发送数据0, localport=6654, RemotePort=10002, unDataLen=52 

2017-07-17-18-12-44-272  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08DE18F8成功发送数据*, localport=6654, RemotePort=10002, unDataLen=52 

2017-07-17-18-12-44-329  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08DE18F8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

2017-07-17-18-12-44-329  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08DE18F8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

2017-07-17-18-12-44-329  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08DE18F8准备发送数据0, localport=6654, RemotePort=10002, unDataLen=52 

2017-07-17-18-12-44-329  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08DE18F8成功发送数据*, localport=6654, RemotePort=10002, unDataLen=52 

2017-07-17-18-12-44-388  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08DE18F8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:6654 

