2017-07-18-17-25-47-367  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-18-17-25-47-369  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-18-17-25-47-371  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-18-17-25-47-378  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-18-17-25-47-379  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-18-17-25-47-417  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道08CD19A8创建成功, new socket 3428, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:51133
 
2017-07-18-17-25-47-417  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08CD19A8准备发送数据0, localport=51133, RemotePort=10002, unDataLen=356 

2017-07-18-17-25-47-417  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08CD19A8成功发送数据*, localport=51133, RemotePort=10002, unDataLen=356 

2017-07-18-17-25-47-422  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08CD19A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-422  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08CD19A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-422  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08CD19A8准备发送数据0, localport=51133, RemotePort=10002, unDataLen=52 

2017-07-18-17-25-47-422  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08CD19A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-422  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08CD19A8成功发送数据*, localport=51133, RemotePort=10002, unDataLen=52 

2017-07-18-17-25-47-423  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08CD19A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-423  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08CD19A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-423  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08CD19A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-423  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08CD19A8准备发送数据0, localport=51133, RemotePort=10002, unDataLen=52 

2017-07-18-17-25-47-423  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08CD19A8成功发送数据*, localport=51133, RemotePort=10002, unDataLen=52 

2017-07-18-17-25-47-424  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08CD19A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-424  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08CD19A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-424  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08CD19A8准备发送数据0, localport=51133, RemotePort=10002, unDataLen=52 

2017-07-18-17-25-47-424  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08CD19A8成功发送数据*, localport=51133, RemotePort=10002, unDataLen=52 

2017-07-18-17-25-47-425  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08CD19A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-425  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08CD19A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-425  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08CD19A8准备发送数据0, localport=51133, RemotePort=10002, unDataLen=52 

2017-07-18-17-25-47-425  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08CD19A8成功发送数据*, localport=51133, RemotePort=10002, unDataLen=52 

2017-07-18-17-25-47-425  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08CD19A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-425  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08CD19A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-426  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08CD19A8准备发送数据0, localport=51133, RemotePort=10002, unDataLen=52 

2017-07-18-17-25-47-426  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08CD19A8成功发送数据*, localport=51133, RemotePort=10002, unDataLen=52 

2017-07-18-17-25-47-427  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08CD19A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-427  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08CD19A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-427  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08CD19A8准备发送数据0, localport=51133, RemotePort=10002, unDataLen=52 

2017-07-18-17-25-47-427  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08CD19A8成功发送数据*, localport=51133, RemotePort=10002, unDataLen=52 

2017-07-18-17-25-47-429  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08CD19A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-429  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08CD19A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-431  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08CD19A8准备发送数据0, localport=51133, RemotePort=10002, unDataLen=116 

2017-07-18-17-25-47-431  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08CD19A8成功发送数据*, localport=51133, RemotePort=10002, unDataLen=116 

2017-07-18-17-25-47-431  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08CD19A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-431  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08CD19A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-443  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08CD19A8准备发送数据0, localport=51133, RemotePort=10002, unDataLen=116 

2017-07-18-17-25-47-443  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08CD19A8成功发送数据*, localport=51133, RemotePort=10002, unDataLen=116 

2017-07-18-17-25-47-443  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08CD19A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-443  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08CD19A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-445  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08CD19A8准备发送数据0, localport=51133, RemotePort=10002, unDataLen=116 

2017-07-18-17-25-47-445  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08CD19A8成功发送数据*, localport=51133, RemotePort=10002, unDataLen=116 

2017-07-18-17-25-47-445  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08CD19A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-445  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08CD19A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-445  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08CD19A8回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-445  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08CD19A8回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:51133 

2017-07-18-17-25-47-449  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08CD19A8准备发送数据0, localport=51133, RemotePort=10002, unDataLen=116 

