2017-07-17-10-12-15-987  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-17-10-12-15-992  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-10-12-15-993  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-10-12-15-999  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-17-10-12-16-000  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-17-10-12-16-032  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道07E718A0创建成功, new socket 3400, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:34793
 
2017-07-17-10-12-16-032  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07E718A0准备发送数据0, localport=34793, RemotePort=10002, unDataLen=356 

2017-07-17-10-12-16-032  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07E718A0成功发送数据*, localport=34793, RemotePort=10002, unDataLen=356 

2017-07-17-10-12-16-112  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07E718A0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-112  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07E718A0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-112  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07E718A0准备发送数据0, localport=34793, RemotePort=10002, unDataLen=52 

2017-07-17-10-12-16-112  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07E718A0成功发送数据*, localport=34793, RemotePort=10002, unDataLen=52 

2017-07-17-10-12-16-132  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07E718A0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-132  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07E718A0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-173  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07E718A0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-173  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07E718A0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-173  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07E718A0准备发送数据0, localport=34793, RemotePort=10002, unDataLen=52 

2017-07-17-10-12-16-173  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07E718A0成功发送数据*, localport=34793, RemotePort=10002, unDataLen=52 

2017-07-17-10-12-16-235  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07E718A0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-235  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07E718A0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-235  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07E718A0准备发送数据0, localport=34793, RemotePort=10002, unDataLen=52 

2017-07-17-10-12-16-235  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07E718A0成功发送数据*, localport=34793, RemotePort=10002, unDataLen=52 

2017-07-17-10-12-16-295  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07E718A0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-296  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07E718A0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-296  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07E718A0准备发送数据0, localport=34793, RemotePort=10002, unDataLen=52 

2017-07-17-10-12-16-296  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07E718A0成功发送数据*, localport=34793, RemotePort=10002, unDataLen=52 

2017-07-17-10-12-16-356  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07E718A0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-357  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07E718A0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-357  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07E718A0准备发送数据0, localport=34793, RemotePort=10002, unDataLen=52 

2017-07-17-10-12-16-357  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07E718A0成功发送数据*, localport=34793, RemotePort=10002, unDataLen=52 

2017-07-17-10-12-16-417  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07E718A0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-417  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07E718A0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-417  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07E718A0准备发送数据0, localport=34793, RemotePort=10002, unDataLen=52 

2017-07-17-10-12-16-417  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07E718A0成功发送数据*, localport=34793, RemotePort=10002, unDataLen=52 

2017-07-17-10-12-16-477  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07E718A0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-477  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道07E718A0回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

2017-07-17-10-12-16-479  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道07E718A0准备发送数据0, localport=34793, RemotePort=10002, unDataLen=116 

2017-07-17-10-12-16-479  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道07E718A0成功发送数据*, localport=34793, RemotePort=10002, unDataLen=116 

2017-07-17-10-12-16-518  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道07E718A0回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:34793 

