2017-07-17-15-49-56-009  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-17-15-49-56-012  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-15-49-56-013  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-15-49-56-021  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-17-15-49-56-021  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-17-15-49-56-058  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道08101C50创建成功, new socket 3408, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:50044
 
2017-07-17-15-49-56-058  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=356 

2017-07-17-15-49-56-058  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=356 

2017-07-17-15-49-56-140  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-141  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-141  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=52 

2017-07-17-15-49-56-141  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=52 

2017-07-17-15-49-56-161  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-161  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-201  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-201  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-201  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=52 

2017-07-17-15-49-56-201  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=52 

2017-07-17-15-49-56-261  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-261  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-261  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=52 

2017-07-17-15-49-56-261  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=52 

2017-07-17-15-49-56-325  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-325  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-325  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=52 

2017-07-17-15-49-56-325  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=52 

2017-07-17-15-49-56-385  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-385  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-385  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=52 

2017-07-17-15-49-56-386  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=52 

2017-07-17-15-49-56-447  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-447  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-447  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=52 

2017-07-17-15-49-56-448  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=52 

2017-07-17-15-49-56-507  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-507  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-509  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-509  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-547  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-547  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-559  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-559  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-559  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-559  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-560  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-560  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-561  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-561  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-561  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-561  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-564  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-564  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-564  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-564  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-564  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-564  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-564  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-564  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-567  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-567  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-567  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-567  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-570  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-570  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-570  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-570  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-573  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-573  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-573  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-573  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-577  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-577  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-577  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-577  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08101C50回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

2017-07-17-15-49-56-581  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08101C50准备发送数据0, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-581  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08101C50成功发送数据*, localport=50044, RemotePort=10002, unDataLen=116 

2017-07-17-15-49-56-581  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08101C50回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:50044 

