2017-07-17-18-14-58-922  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 135) 操作系统为_WIN32 

2017-07-17-18-14-58-924  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-18-14-58-926  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 58)  完成端口开始接收数据 

2017-07-17-18-14-58-933  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadpoolmodule.cpp 397)  增加线程条数 2
 
2017-07-17-18-14-58-934  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\communicationmanager.cpp 774) 通知上层新连接到达线程开始运行

2017-07-17-18-14-58-973  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\netservice.cpp 611) 通道08761940创建成功, new socket 3404, szRemoteIP:192.168.1.47, 		uiRemotePort:10002, szLocalIP:192.168.1.47, uiLocalPort:7016
 
2017-07-17-18-14-58-973  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08761940准备发送数据0, localport=7016, RemotePort=10002, unDataLen=356 

2017-07-17-18-14-58-973  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08761940成功发送数据*, localport=7016, RemotePort=10002, unDataLen=356 

2017-07-17-18-14-59-052  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08761940回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-053  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08761940回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-053  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08761940准备发送数据0, localport=7016, RemotePort=10002, unDataLen=52 

2017-07-17-18-14-59-053  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08761940成功发送数据*, localport=7016, RemotePort=10002, unDataLen=52 

2017-07-17-18-14-59-071  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08761940回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-071  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08761940回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-109  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08761940回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-109  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08761940回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-109  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08761940准备发送数据0, localport=7016, RemotePort=10002, unDataLen=52 

2017-07-17-18-14-59-110  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08761940成功发送数据*, localport=7016, RemotePort=10002, unDataLen=52 

2017-07-17-18-14-59-166  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08761940回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-166  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08761940回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-166  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08761940准备发送数据0, localport=7016, RemotePort=10002, unDataLen=52 

2017-07-17-18-14-59-166  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08761940成功发送数据*, localport=7016, RemotePort=10002, unDataLen=52 

2017-07-17-18-14-59-224  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08761940回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-225  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08761940回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-225  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08761940准备发送数据0, localport=7016, RemotePort=10002, unDataLen=52 

2017-07-17-18-14-59-225  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08761940成功发送数据*, localport=7016, RemotePort=10002, unDataLen=52 

2017-07-17-18-14-59-281  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08761940回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-281  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08761940回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-281  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08761940准备发送数据0, localport=7016, RemotePort=10002, unDataLen=52 

2017-07-17-18-14-59-281  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08761940成功发送数据*, localport=7016, RemotePort=10002, unDataLen=52 

2017-07-17-18-14-59-338  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08761940回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-338  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08761940回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-338  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08761940准备发送数据0, localport=7016, RemotePort=10002, unDataLen=52 

2017-07-17-18-14-59-338  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08761940成功发送数据*, localport=7016, RemotePort=10002, unDataLen=52 

2017-07-17-18-14-59-395  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08761940回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-395  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08761940回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-396  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08761940准备发送数据0, localport=7016, RemotePort=10002, unDataLen=116 

2017-07-17-18-14-59-397  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08761940成功发送数据*, localport=7016, RemotePort=10002, unDataLen=116 

2017-07-17-18-14-59-434  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08761940回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-434  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08761940回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-446  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08761940准备发送数据0, localport=7016, RemotePort=10002, unDataLen=116 

2017-07-17-18-14-59-446  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 215) 通道08761940成功发送数据*, localport=7016, RemotePort=10002, unDataLen=116 

2017-07-17-18-14-59-446  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 174) 网络库:通道08761940回调数据包,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-446  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\threadiocp.cpp 182) 网络库:通道08761940回调数据包完毕,szRemoteIP:192.168.1.47, uiRemotePort:10002, uiLocalPort:7016 

2017-07-17-18-14-59-447  LNOTSET  no   (f:\综合视频管理平台\shenxing_v201-modfiy\code\common\netservicelib\src\socketchanel.cpp 146) 通道08761940准备发送数据0, localport=7016, RemotePort=10002, unDataLen=116 

